LAT;;;;;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022;46.2022
LON;;;;;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569;6.14569
ASL;;;;;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000;400.000
CITY;;;;;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva;Geneva
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Total Precipitation (low resolution);Snowfall Amount (high resolution);Snowfall Amount (low resolution);Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;mm;cm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;05;28;00;00;14.80;77.00;1010.40;0.00;0.60;0.00;0.00;100.00;24.00;8.00;100.00;-999.00;0.00;4.20;59.04;9.69;31.33;15.04;348.96;7.92
2019;05;28;01;00;14.23;80.00;1010.20;0.00;0.40;0.00;0.00;100.00;27.00;61.00;100.00;0.00;0.00;4.45;75.96;8.67;41.63;15.99;352.23;9.72
2019;05;28;02;00;13.75;83.00;1009.90;0.00;1.30;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00;4.02;100.30;5.19;56.31;11.77;336.57;6.84
2019;05;28;03;00;13.50;84.00;1010.30;0.00;1.20;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00;2.81;129.81;1.61;63.43;7.20;323.13;4.32
2019;05;28;04;00;13.33;85.00;1009.50;0.00;1.20;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00;3.32;167.47;2.28;198.43;6.70;323.75;5.04
2019;05;28;05;00;13.16;87.00;1009.10;0.00;1.10;0.00;0.00;100.00;100.00;69.00;100.00;0.00;0.00;3.10;234.46;5.04;270.00;16.06;312.27;11.16
2019;05;28;06;00;12.88;89.00;1009.20;0.00;1.00;0.00;0.00;100.00;82.00;92.00;100.00;0.00;0.00;4.55;198.43;4.68;247.38;20.93;333.43;11.16
2019;05;28;07;00;13.02;87.00;1009.30;0.00;0.90;0.00;0.00;100.00;34.00;96.00;100.00;0.00;19.58;6.38;196.39;7.15;220.91;20.30;322.93;12.24
2019;05;28;08;00;13.89;80.00;1009.20;0.00;0.90;0.00;0.00;100.00;34.00;69.00;100.00;0.00;104.13;7.29;200.22;7.59;211.43;19.35;316.51;15.12
2019;05;28;09;00;15.71;67.00;1009.40;0.30;0.70;0.00;0.00;100.00;0.00;100.00;100.00;0.00;275.01;5.41;273.81;7.77;283.39;14.58;302.91;12.60
2019;05;28;10;00;15.96;56.00;1010.40;0.80;0.40;0.00;0.00;100.00;0.00;100.00;25.00;0.00;501.96;11.79;328.74;16.75;331.78;20.38;324.34;19.44
2019;05;28;11;00;16.12;51.00;1010.80;0.50;0.20;0.00;0.00;100.00;0.00;100.00;53.00;0.00;457.46;12.10;306.53;16.56;312.36;20.15;311.38;19.44
2019;05;28;12;00;16.04;51.00;1010.80;0.00;0.10;0.00;0.00;100.00;0.00;100.00;100.00;0.00;548.24;15.11;282.38;16.62;287.65;18.56;288.08;19.08
2019;05;28;13;00;15.27;53.00;1011.10;0.00;0.50;0.00;0.00;100.00;0.00;100.00;100.00;0.00;307.94;15.23;276.79;15.63;277.94;17.52;279.46;19.08
